"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","5,045.47","5,097.56","5,128.39","5,036.50","","-0.68%"
"03/12/2026","5,080.07","5,177.38","5,194.79","5,054.67","","-1.87%"
"03/11/2026","5,177.07","5,189.84","5,223.62","5,149.95","","-0.31%"
"03/10/2026","5,192.94","5,139.30","5,238.70","5,117.84","","1.04%"
"03/09/2026","5,139.56","5,180.45","5,199.37","5,014.73","","-0.61%"
"03/06/2026","5,171.12","5,077.43","5,175.06","5,062.89","","1.85%"
"03/05/2026","5,077.39","5,135.96","5,196.15","5,050.84","","-1.14%"
"03/04/2026","5,135.92","5,087.96","5,206.36","5,083.45","","0.95%"
"03/03/2026","5,087.47","5,327.55","5,380.41","4,996.19","","-4.50%"
"03/02/2026","5,327.42","5,301.75","5,419.25","5,261.37","","0.94%"
"02/27/2026","5,277.90","5,187.61","5,279.56","5,166.54","","1.75%"
"02/26/2026","5,187.26","5,171.00","5,205.90","5,130.73","","0.31%"
"02/25/2026","5,171.16","5,148.27","5,218.16","5,127.21","","0.45%"
"02/24/2026","5,148.18","5,231.55","5,249.96","5,094.50","","-1.59%"
"02/23/2026","5,231.55","5,102.84","5,238.14","5,102.38","","2.49%"
"02/20/2026","5,104.34","4,999.34","5,105.45","4,981.38","","2.10%"
"02/19/2026","4,999.35","4,979.45","5,022.36","4,960.47","","0.40%"
"02/18/2026","4,979.45","4,877.71","5,011.07","4,854.15","","2.09%"
"02/17/2026","4,877.70","4,992.48","5,001.10","4,842.50","","-2.30%"
"02/16/2026","4,992.37","5,040.75","5,041.65","4,966.64","","-1.01%"
"02/13/2026","5,043.11","4,920.27","5,047.93","4,888.71","","2.50%"
